Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
WedApr 1,1:30am,AUD,Medium Impact Expected,Commodity Prices y/y,7.60%,,12.60%
WedApr 1,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-0.20%,0.20%,-0.90%
WedApr 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,32.9,,31.8
WedApr 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,32.6,33,32.6
WedApr 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,34.6,35.1,35
WedApr 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,36.5,36.4,36.3
WedApr 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,32.4,32.4,32.4
WedApr 1,4:00am,EUR,Medium Impact Expected,Final Manufacturing PMI,33.9,34,34
WedApr 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,39.1,34.9,34.7
WedApr 1,4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-8.0B,-6.6B,-5.9B
WedApr 1,5:00am,EUR,Low Impact Expected,Unemployment Rate,8.50%,8.30%,8.30%
WedApr 1,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,180.70%,,158.40%
WedApr 1,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-742K,-660K,-706K
WedApr 1,9:30am,NZD,Low Impact Expected,GDT Price Index,2.40%,,17.50%
WedApr 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,36.3,35.8,35.8
WedApr 1,10:00am,USD,High Impact Expected,Pending Home Sales m/m,2.10%,0.20%,-7.70%
WedApr 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-0.90%,-1.90%,-3.50%
WedApr 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,31,32.4,29
WedApr 1,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.8M,3.1M,3.3M
WedApr 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,9.9M,9.3M,9.1M
WedApr 1,2:10pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
WedApr 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,6.90%,6.80%,6.40%
WedApr 1,8:30pm,AUD,High Impact Expected,Trade Balance,2.11B,0.70B,0.93B
WedApr 1,10:07pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.00%,,-4.60%
ThuApr 2,2:00am,GBP,High Impact Expected,Nationwide HPI m/m,0.90%,-1.50%,-1.90%
ThuApr 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,123.5K,,154.1K
ThuApr 2,4:30am,CHF,High Impact Expected,Gov Board Member Hildebrand Speaks,,,
ThuApr 2,4:30am,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
ThuApr 2,4:30am,GBP,Medium Impact Expected,Construction PMI,30.9,27.6,27.8
ThuApr 2,5:07am,EUR,Low Impact Expected,French 10-y Bond Auction,3.62|1.9,,3.72|1.7
ThuApr 2,All Day,All,High Impact Expected,G20 Meetings,,,
ThuApr 2,5:37am,GBP,Low Impact Expected,30-y Bond Auction,4.26|1.6,,4.49|1.5
ThuApr 2,7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.25%,1.00%,1.50%
ThuApr 2,7:59am,CNY,High Impact Expected,Manufacturing PMI,52.4,,49
ThuApr 2,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuApr 2,8:30am,USD,High Impact Expected,Unemployment Claims,669K,649K,657K
ThuApr 2,10:00am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
ThuApr 2,10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.80%,1.50%,-3.50%
ThuApr 2,10:30am,USD,Low Impact Expected,Natural Gas Storage,0B,-1B,3B
ThuApr 2,6:30pm,AUD,Low Impact Expected,AIG Services Index,35.6,,32.2
